episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -3494.6965861320496, 2, 3.9191538210002363, 234, 25183,                                             25183, 22.365285873413086, 343.3406677246094
2, -5589.338953733444, 2, 8.800733546000174, 506, 25689,                                             25689, 22.80879783630371, 344.3352355957031
3, -2708.067757487297, 2, 1.7024909890001254, 89, 25778,                                             25778, 22.493947982788086, 355.5516052246094
4, -2649.606209039688, 2, 2.1193378349998966, 123, 25901,                                             25901, 22.949623107910156, 344.3241882324219
5, -2589.775362610817, 2, 2.9014321859999654, 160, 26061,                                             26061, 22.080093383789062, 354.15814208984375
6, -2965.359466791153, 2, 2.7148772359996656, 154, 26215,                                             26215, 23.574424743652344, 352.72711181640625
7, -6002.662662744522, 4, 12.124841979999928, 706, 26921,                                             26921, 23.362459182739258, 363.3473815917969
8, -2584.7833967208862, 4, 12.507593326000006, 723, 27644,                                             27644, 23.908235549926758, 371.7185363769531
9, -6093.729336440563, 3, 11.521031473000221, 688, 28332,                                             28332, 23.57341766357422, 370.9621276855469
10, 1125.0310487747192, 1, 7.503568669000288, 435, 28767,                                             28767, 23.335256576538086, 371.7505798339844
11, -184.89790266752243, 1, 11.181712924999829, 668, 29435,                                             29435, 22.656766891479492, 358.347412109375
12, -2559.567335009575, 2, 3.7022485000002234, 206, 29641,                                             29641, 22.55433464050293, 357.3414611816406
13, -2608.286407470703, 2, 1.7025490649998574, 80, 29721,                                             29721, 22.294851303100586, 356.4085388183594
14, 2215.711323082447, 1, 3.1026779980002175, 167, 29888,                                             29888, 23.177825927734375, 350.8470153808594
15, -6185.507019996643, 4, 11.723849565999899, 692, 30580,                                             30580, 21.434228897094727, 332.53961181640625
16, 1731.9780380129814, 1, 4.3020381629999065, 244, 30824,                                             30824, 21.18782615661621, 315.749267578125
17, -6224.36678981781, 3, 8.505269166999824, 490, 31314,                                             31314, 19.69120216369629, 301.063232421875
18, -2958.7331619262695, 4, 12.107451740000215, 704, 32018,                                             32018, 18.27342414855957, 286.05535888671875
19, 2389.8587864637375, 1, 1.315519310000127, 71, 32089,                                             32089, 16.675756454467773, 273.5022888183594
20, -4275.859412431717, 4, 12.307519576999766, 716, 32805,                                             32805, 16.88020133972168, 269.2117004394531
21, 1758.7932035326958, 1, 3.968169736999698, 233, 33038,                                             33038, 16.880069732666016, 260.1888427734375
22, -4549.558983922005, 4, 11.906038394999996, 700, 33738,                                             33738, 15.51888656616211, 257.2038269042969
23, -4621.746495604515, 2, 6.906022545000269, 397, 34135,                                             34135, 15.34691333770752, 251.74620056152344
24, -3557.14757168293, 2, 3.1033593419997487, 166, 34301,                                             34301, 15.697580337524414, 244.83616638183594
25, -4763.253974914551, 2, 7.307134876999953, 418, 34719,                                             34719, 15.590821266174316, 243.0344696044922
26, 2092.886901140213, 1, 2.902218676999837, 151, 34870,                                             34870, 14.304768562316895, 242.5430908203125
27, 1291.0779796242714, 1, 5.520456557999751, 295, 35165,                                             35165, 14.247286796569824, 235.9425811767578
28, -2663.65757727623, 2, 0.9151195170002211, 53, 35218,                                             35218, 14.086236953735352, 236.79742431640625
29, -4638.512152791023, 3, 5.90414045999978, 333, 35551,                                             35551, 13.874452590942383, 233.12030029296875
30, -3005.18922996521, 2, 3.3183713939997688, 189, 35740,                                             35740, 14.741479873657227, 233.2451629638672
31, -76273.97338140011, 3, 47.52533687599998, 2897, 38637,                                             38637, 13.587567329406738, 241.88818359375
32, -2910.267960548401, 2, 4.1010120790001565, 225, 38862,                                             38862, 12.169157981872559, 261.11407470703125
33, -2994.365343749523, 2, 4.918267870999898, 285, 39147,                                             39147, 13.30212688446045, 261.4334716796875
34, -2775.0009462833405, 2, 3.701819371000056, 199, 39346,                                             39346, 11.956175804138184, 261.6602478027344
35, -3618.045206606388, 2, 7.92141592400003, 467, 39813,                                             39813, 12.277192115783691, 263.32635498046875
36, -4274.538713812828, 2, 11.72320467999998, 654, 40467,                                             40467, 12.019207954406738, 264.1687927246094
37, -3729.8056161999702, 2, 7.118640883999888, 422, 40889,                                             40889, 12.11375904083252, 265.04986572265625
38, -3684.2975610494614, 2, 7.5046158600002855, 425, 41314,                                             41314, 11.66791820526123, 266.35882568359375
39, -4317.248371362686, 2, 7.7065903210000215, 440, 41754,                                             41754, 11.950765609741211, 269.63909912109375
40, -3720.87471306324, 4, 11.52046843800008, 688, 42442,                                             42442, 12.53072452545166, 270.6122131347656
41, 2063.574198424816, 1, 2.7170356090000496, 156, 42598,                                             42598, 12.051733016967773, 274.3630676269531
42, -4259.599851965904, 2, 6.304056458000105, 357, 42955,                                             42955, 11.143630981445312, 271.3009948730469
43, 1224.880593970418, 1, 7.521043976000328, 444, 43399,                                             43399, 12.311222076416016, 274.3984069824219
44, -2734.0446380376816, 4, 11.706566686000315, 681, 44080,                                             44080, 11.810321807861328, 276.0615234375
45, -3401.627484500408, 2, 5.918275405999793, 353, 44433,                                             44433, 11.803363800048828, 274.70001220703125
46, -3406.906066417694, 2, 3.5024165059999177, 188, 44621,                                             44621, 11.384513854980469, 277.4411926269531
47, -3889.872682571411, 3, 6.5213002790001156, 388, 45009,                                             45009, 12.24218463897705, 275.7346496582031
48, 44.924315840005875, 1, 9.10472743399987, 524, 45533,                                             45533, 11.252630233764648, 277.9382629394531
49, -3088.1346092820168, 4, 11.523652944999867, 666, 46199,                                             46199, 12.054584503173828, 279.9500427246094
50, -2608.8673852682114, 2, 3.1022983779998867, 166, 46365,                                             46365, 11.62749195098877, 277.852783203125
51, -2580.5000146627426, 2, 1.7690086930001598, 101, 46466,                                             46466, 11.048235893249512, 284.1510314941406
52, 1918.7048984766006, 1, 5.319293280000238, 292, 46758,                                             46758, 11.76557731628418, 283.1515808105469
53, -3500.641787946224, 4, 11.52333379599986, 674, 47432,                                             47432, 12.037707328796387, 282.3789978027344
54, -4763.9370901584625, 3, 6.919494851999843, 403, 47835,                                             47835, 11.968316078186035, 284.13592529296875
55, 1176.571829110384, 1, 5.90342462100034, 336, 48171,                                             48171, 11.131688117980957, 285.16949462890625
56, -3951.3762115240097, 4, 11.524526529000013, 689, 48860,                                             48860, 11.516079902648926, 287.80242919921875
57, -2876.4775315523148, 2, 3.1016125069995724, 165, 49025,                                             49025, 12.43142032623291, 290.3642883300781
58, -3665.2512259483337, 4, 11.924510161000399, 700, 49725,                                             49725, 12.757109642028809, 293.1491394042969
59, -3918.6095130443573, 3, 6.1047339849997115, 346, 50071,                                             50071, 11.697495460510254, 293.462890625
60, -3992.534729719162, 4, 12.525502486999812, 720, 50791,                                             50791, 11.744775772094727, 297.29180908203125
61, 2193.61349684, 1, 3.342700697000055, 183, 50974,                                             50974, 12.13035774230957, 296.97943115234375
62, -3865.6049321889877, 4, 11.72526624000011, 700, 51674,                                             51674, 11.770586967468262, 296.8621826171875
63, 2377.1398062109947, 1, 1.5012155900003563, 72, 51746,                                             51746, 11.878191947937012, 297.1128234863281
64, -3250.7852375507355, 4, 11.923741827999947, 711, 52457,                                             52457, 11.745794296264648, 300.405517578125
65, 888.3610602915287, 1, 9.105079614000715, 522, 52979,                                             52979, 12.178993225097656, 302.37225341796875
66, -3583.2888507843018, 4, 11.52376733300025, 676, 53655,                                             53655, 11.901707649230957, 304.03167724609375
