episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
2, -2998.27105922997, 2, 5.6968270640063565, 161, 25208,                                             25208, 89.7370834350586, 689.6610107421875
3, -3155.1892416477203, 2, 5.518075608997606, 156, 25364,                                             25364, 89.13746643066406, 698.3189697265625
4, -2435.7927844524384, 2, 2.7168580910001765, 76, 25440,                                             25440, 91.79237365722656, 700.314208984375
5, -2892.3963062763214, 2, 4.716851790995861, 137, 25577,                                             25577, 87.20474243164062, 702.1732788085938
6, 2452.726930499077, 1, 1.3176509909972083, 30, 25607,                                             25607, 91.23564910888672, 678.160888671875
7, -3515.670870065689, 2, 5.503961926995544, 164, 25771,                                             25771, 89.25460052490234, 704.2874755859375
8, -2413.3620995283127, 2, 3.5163834299964947, 97, 25868,                                             25868, 87.0521469116211, 698.1214599609375
9, -2906.103710412979, 2, 5.116442910999467, 142, 26010,                                             26010, 91.09415435791016, 715.4647216796875
10, -2955.8044862747192, 2, 6.518800511999871, 192, 26202,                                             26202, 89.39237213134766, 724.1901245117188
11, -2390.71467256546, 2, 2.9187370229992666, 82, 26284,                                             26284, 89.90542602539062, 731.464599609375
12, -4098.700502157211, 2, 6.920617394003784, 202, 26486,                                             26486, 90.08929443359375, 723.9044189453125
13, -2983.3975363969803, 2, 5.917357626000012, 181, 26667,                                             26667, 90.31206512451172, 733.8101806640625
14, -2720.710346698761, 2, 3.9144069430039963, 114, 26781,                                             26781, 92.19825744628906, 749.4231567382812
15, -2900.7591568231583, 2, 4.116302340000402, 120, 26901,                                             26901, 94.5295639038086, 753.7632446289062
16, -1857.7216566205025, 4, 10.319367690994113, 321, 27222,                                             27222, 90.63785552978516, 750.3781127929688
17, -2391.0928564071655, 2, 3.3159999870040338, 99, 27321,                                             27321, 90.3326416015625, 753.2698364257812
18, -2755.7951135635376, 2, 4.316381023003487, 131, 27452,                                             27452, 93.11775207519531, 769.665771484375
19, -2837.1402876377106, 2, 5.117275564996817, 152, 27604,                                             27604, 90.16856384277344, 758.11279296875
20, -3470.3779541254044, 2, 8.118335801002104, 239, 27843,                                             27843, 89.16460418701172, 757.7857666015625
21, -2838.987836420536, 2, 6.118179730998236, 184, 28027,                                             28027, 91.06970977783203, 776.0943603515625
22, -3147.507776737213, 2, 5.723342230994604, 167, 28194,                                             28194, 90.94049835205078, 775.400390625
23, -1543.8717920780182, 4, 10.722297594998963, 322, 28516,                                             28516, 90.03433227539062, 781.0430908203125
24, -3184.9366760253906, 2, 6.717834104005306, 203, 28719,                                             28719, 91.70182800292969, 784.4781494140625
25, -1934.5122964382172, 4, 10.721214338998834, 324, 29043,                                             29043, 91.98540496826172, 791.0668334960938
26, -2633.711849093437, 2, 3.7169974950011238, 109, 29152,                                             29152, 89.98943328857422, 787.5700073242188
27, 1477.357285439968, 1, 7.919545915996423, 248, 29400,                                             29400, 90.10379028320312, 798.734375
28, -2554.4133155345917, 2, 0.928977475996362, 30, 29430,                                             29430, 91.58895111083984, 809.8964233398438
29, -2716.6352130174637, 2, 3.70266884600278, 108, 29538,                                             29538, 90.87615966796875, 816.4966430664062
30, -3719.252859711647, 2, 9.919598331995076, 306, 29844,                                             29844, 89.86642456054688, 808.7056274414062
31, -1526.8998965024948, 4, 10.321816982002929, 316, 30160,                                             30160, 89.34625244140625, 811.1689453125
32, -3166.083896636963, 2, 6.118223632998706, 184, 30344,                                             30344, 86.34976959228516, 811.5989379882812
33, 2078.6012030243874, 1, 4.9196433189936215, 141, 30485,                                             30485, 89.6634292602539, 824.0548095703125
34, -2602.7999670505524, 2, 2.7190785549973953, 76, 30561,                                             30561, 90.62765502929688, 825.02978515625
35, -2404.7855978012085, 2, 3.7166917959984858, 106, 30667,                                             30667, 87.25316619873047, 826.341552734375
36, -1814.0150032043457, 4, 10.72189760999754, 320, 30987,                                             30987, 86.396728515625, 832.9134521484375
37, -3170.4783190488815, 2, 5.719257459997607, 166, 31153,                                             31153, 86.68116760253906, 829.326904296875
38, -1416.615462422371, 4, 10.721021858000313, 320, 31473,                                             31473, 87.0730972290039, 840.9210205078125
39, -1972.839486837387, 4, 10.5192155429977, 318, 31791,                                             31791, 85.5866928100586, 845.7469482421875
40, -2709.4147876501083, 3, 5.522136359999422, 166, 31957,                                             31957, 84.44058990478516, 849.8978881835938
41, -1391.8042290210724, 4, 10.12049282299995, 320, 32277,                                             32277, 83.33578491210938, 850.4918823242188
42, -1677.6862239837646, 4, 10.519843517999107, 330, 32607,                                             32607, 81.7227554321289, 848.7713012695312
43, 1851.2033630013466, 1, 5.11828706599772, 155, 32762,                                             32762, 84.25164794921875, 851.6800537109375
44, -2335.0046303272247, 2, 1.515280982996046, 40, 32802,                                             32802, 83.8250732421875, 876.7366943359375
45, -1947.2231055498123, 4, 10.519979552998848, 332, 33134,                                             33134, 84.30316162109375, 864.3069458007812
46, -2940.2823736667633, 2, 4.517811652003729, 139, 33273,                                             33273, 84.04174041748047, 866.8850708007812
47, -3096.434058189392, 2, 4.91814536399761, 147, 33420,                                             33420, 81.09968566894531, 862.5855712890625
48, -3836.2189633846283, 2, 7.518596971000079, 229, 33649,                                             33649, 82.89337921142578, 869.5765380859375
49, -3391.7905106544495, 2, 6.117733729995962, 191, 33840,                                             33840, 81.54025268554688, 879.1692504882812
50, -3399.3648258447647, 2, 7.918594822003797, 247, 34087,                                             34087, 81.2347412109375, 883.8440551757812
51, -1634.9768458604813, 4, 10.523139930002799, 327, 34414,                                             34414, 81.12291717529297, 886.9341430664062
52, -3230.5274242162704, 2, 5.517144459001429, 167, 34581,                                             34581, 80.26841735839844, 884.6414794921875
53, -3713.6430658102036, 2, 7.72030220200395, 240, 34821,                                             34821, 81.06898498535156, 897.8338623046875
54, -2065.3716090917587, 4, 10.3201604509959, 324, 35145,                                             35145, 80.42372131347656, 897.6358032226562
55, -1878.673596382141, 4, 10.321136942999146, 324, 35469,                                             35469, 81.35914611816406, 904.9717407226562
56, -1700.1496613025665, 4, 10.321429310002713, 321, 35790,                                             35790, 80.92058563232422, 907.4170532226562
57, -2886.6786729097366, 2, 5.718035810001311, 175, 35965,                                             35965, 79.7923583984375, 911.2659912109375
58, -3104.723446369171, 4, 10.521294245001627, 328, 36293,                                             36293, 79.37527465820312, 909.0177001953125
59, -1605.423248410225, 4, 10.120860263996292, 319, 36612,                                             36612, 80.62432098388672, 919.5267333984375
60, -1885.3530368804932, 4, 10.520079790003365, 328, 36940,                                             36940, 80.8333740234375, 927.095458984375
61, -2276.5581908226013, 4, 10.119944992002274, 312, 37252,                                             37252, 80.17265319824219, 927.3079223632812
62, -1426.5771352052689, 4, 10.327178756997455, 323, 37575,                                             37575, 78.48281860351562, 928.0758666992188
63, -4447.646284341812, 2, 9.721187280003505, 303, 37878,                                             37878, 78.2373046875, 928.9685668945312
64, -1649.6957936286926, 4, 10.520246185005817, 327, 38205,                                             38205, 78.1370620727539, 936.45458984375
65, -1775.7671991586685, 4, 10.329883417995006, 320, 38525,                                             38525, 75.5636215209961, 933.3606567382812
66, -3146.0174083709717, 2, 4.717528023000341, 140, 38665,                                             38665, 76.64546966552734, 941.1528930664062
67, 2235.7020671367645, 1, 2.3160955189960077, 67, 38732,                                             38732, 79.32345581054688, 948.1539916992188
68, 1863.3447264432907, 1, 4.519282901994302, 136, 38868,                                             38868, 76.79470825195312, 936.074951171875
69, -2717.7399508953094, 3, 0.9324456350004766, 30, 38898,                                             38898, 73.49321746826172, 941.8439331054688
70, -2615.492046356201, 2, 4.0985012449964415, 122, 39020,                                             39020, 77.90071868896484, 938.2706909179688
