episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
2, 2460.287022680044, 1, 0.6882685759992455, 30, 25077,                                             25077, 96.97318267822266, 681.4501953125
3, -3231.79803276062, 2, 5.2198689529977855, 237, 25314,                                             25314, 88.41229248046875, 689.626708984375
4, 2238.754382327199, 1, 3.358361162005167, 142, 25456,                                             25456, 86.85761260986328, 692.0729370117188
5, -2898.191924571991, 2, 2.5151462860012543, 102, 25558,                                             25558, 88.6377944946289, 681.722900390625
6, -2935.2055140137672, 3, 5.918079786999442, 254, 25812,                                             25812, 88.76788330078125, 706.1011352539062
7, -2600.832179903984, 2, 3.5162511649978114, 143, 25955,                                             25955, 87.1435317993164, 705.143798828125
8, -2637.842427253723, 2, 3.314843555999687, 139, 26094,                                             26094, 87.97882080078125, 703.9059448242188
9, -2949.4903522729874, 2, 4.717018729999836, 201, 26295,                                             26295, 87.62879943847656, 705.6034545898438
10, -3461.2536878585815, 2, 5.718316270002106, 239, 26534,                                             26534, 88.1734848022461, 712.1926879882812
11, -2756.7866961956024, 4, 10.520998848005547, 469, 27003,                                             27003, 88.86819458007812, 729.3468017578125
12, -2900.562928378582, 2, 3.915867489995435, 164, 27167,                                             27167, 89.23818969726562, 735.558349609375
13, -3496.974887609482, 3, 6.318563740001991, 278, 27445,                                             27445, 87.14041900634766, 736.5100708007812
14, -2675.098487019539, 2, 2.9172793890029425, 125, 27570,                                             27570, 88.21813201904297, 756.7543334960938
15, -2038.100923538208, 4, 11.322533915998065, 485, 28055,                                             28055, 87.11946868896484, 750.8070068359375
16, -2311.0026411414146, 4, 11.122665604998474, 479, 28534,                                             28534, 85.42815399169922, 755.3239135742188
17, 1220.405991435051, 1, 7.916736412997125, 338, 28872,                                             28872, 83.58892059326172, 762.0076293945312
18, -3580.6013004779816, 2, 4.320238414999039, 196, 29068,                                             29068, 84.24243927001953, 753.3408203125
19, -2779.0460772514343, 2, 3.3153355379981804, 140, 29208,                                             29208, 84.90485382080078, 761.8475341796875
20, -2385.133321285248, 4, 10.72087932100112, 479, 29687,                                             29687, 84.41990661621094, 767.5106811523438
