episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -2725.425276041031, 2, 2.321529846994963, 91, 25047,                                             25047, 86.05026245117188, 674.7398681640625
2, -2344.4402570724487, 4, 11.10666173100617, 468, 25515,                                             25515, 87.7343521118164, 673.1918334960938
3, -3280.225466489792, 2, 3.920072954002535, 157, 25672,                                             25672, 88.23912811279297, 688.31103515625
4, -3007.8867452144623, 2, 4.119807859999128, 164, 25836,                                             25836, 89.70628356933594, 696.2211303710938
5, -3893.1501717567444, 2, 7.921219036994444, 334, 26170,                                             26170, 89.74302673339844, 706.6517944335938
6, -3473.0825387239456, 2, 8.122814212998492, 351, 26521,                                             26521, 90.06128692626953, 709.3538818359375
7, -3286.843866467476, 3, 6.720059785002377, 290, 26811,                                             26811, 91.87213897705078, 716.8173828125
8, -3037.997530579567, 2, 3.918759804997535, 164, 26975,                                             26975, 91.67665100097656, 727.7698974609375
9, -3044.857441544533, 2, 5.922822610002186, 253, 27228,                                             27228, 90.90727233886719, 728.1431884765625
10, -1974.597444176674, 4, 10.52352516999963, 464, 27692,                                             27692, 91.32748413085938, 746.39599609375
11, 1216.5968316495419, 1, 4.719745057998807, 204, 27896,                                             27896, 88.83972930908203, 742.4745483398438
12, -199.91397321224213, 1, 9.14803617799771, 404, 28300,                                             28300, 91.01048278808594, 756.7163696289062
13, -2835.6162734031677, 2, 1.094062711999868, 39, 28339,                                             28339, 88.86253356933594, 764.920654296875
14, -1758.9000468850136, 4, 11.324607294001908, 480, 28819,                                             28819, 89.26468658447266, 758.252685546875
15, 727.6554743945599, 1, 8.719661044997338, 377, 29196,                                             29196, 88.15239715576172, 766.3646240234375
16, -3590.6099784374237, 3, 5.437432227998215, 236, 29432,                                             29432, 88.4043960571289, 767.1798706054688
17, -1829.7804632782936, 4, 11.206736155996623, 485, 29917,                                             29917, 87.353271484375, 774.7572021484375
18, -2524.508157014847, 2, 2.9218645579967415, 122, 30039,                                             30039, 83.68419647216797, 770.2566528320312
19, -4332.265883922577, 3, 7.120643893002125, 313, 30352,                                             30352, 87.75936889648438, 774.3828125
20, -2306.053341090679, 4, 10.522739858999557, 472, 30824,                                             30824, 87.60435485839844, 781.9657592773438
21, -1827.855920433998, 4, 10.522292868001387, 464, 31288,                                             31288, 84.230224609375, 782.2113037109375
22, -3959.248824596405, 2, 9.321949709999899, 416, 31704,                                             31704, 83.70185852050781, 787.3572998046875
23, -1947.5021576881409, 4, 10.522711336001521, 472, 32176,                                             32176, 83.85880279541016, 788.0505981445312
24, -2500.1343495845795, 4, 10.521701151003072, 473, 32649,                                             32649, 82.05335998535156, 786.5477294921875
25, -2160.655234694481, 4, 10.523154230999353, 472, 33121,                                             33121, 81.34036254882812, 796.3287353515625
26, -3742.9593843221664, 2, 8.72160017600254, 388, 33509,                                             33509, 81.45235443115234, 795.6328735351562
27, -2275.7600231170654, 4, 10.321052005005185, 463, 33972,                                             33972, 80.1183853149414, 799.0838012695312
28, -3981.794998526573, 2, 9.12146697800199, 407, 34379,                                             34379, 78.72923278808594, 802.96337890625
29, -3448.561722278595, 3, 5.919544108000991, 263, 34642,                                             34642, 78.06258392333984, 809.2846069335938
30, -1999.6703857183456, 4, 10.323530335001124, 467, 35109,                                             35109, 78.0165023803711, 809.673095703125
31, -1731.881970524788, 4, 11.125488026998937, 476, 35585,                                             35585, 78.05399322509766, 811.5903930664062
32, -2130.090794801712, 4, 11.330071038995811, 462, 36047,                                             36047, 76.32591247558594, 813.7695922851562
33, -1766.5827570855618, 4, 11.128312255998026, 459, 36506,                                             36506, 75.57840728759766, 812.6807861328125
34, -2643.3543617725372, 4, 10.924214918995858, 462, 36968,                                             36968, 76.0144271850586, 816.3712768554688
