episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -219.80055773304775, 2, 6.1173715029945015, 611, 25466,                                             25466, 2.6418018341064453, 11.385905265808105
2, -71.52896035835147, 4, 10.100658979994478, 967, 26433,                                             26433, 2.67410945892334, 11.738459587097168
3, -288.84059341135435, 2, 4.318062676997215, 400, 26833,                                             26833, 2.807424545288086, 12.372759819030762
4, -177.09214535739738, 2, 3.9166883759971824, 353, 27186,                                             27186, 2.8688416481018066, 12.651222229003906
5, -983.4948194221943, 2, 7.518736746998911, 694, 27880,                                             27880, 3.085416555404663, 13.318791389465332
6, -191.99192868173122, 2, 5.916936815003282, 554, 28434,                                             28434, 3.1025357246398926, 13.5764741897583
7, -639.7527946126647, 2, 6.718644218002737, 626, 29060,                                             29060, 3.060661554336548, 13.909661293029785
8, 31.387040313333273, 1, 0.31421972699899925, 30, 29090,                                             29090, 3.0647997856140137, 14.409940719604492
9, -291.01658622920513, 2, 4.31754202600132, 392, 29482,                                             29482, 3.0340535640716553, 14.335269927978516
10, -248.23167446255684, 2, 4.116626272996655, 375, 29857,                                             29857, 3.0651960372924805, 14.617159843444824
11, -147.24133095517755, 3, 4.51564983100252, 404, 30261,                                             30261, 3.1511998176574707, 14.831393241882324
12, -228.56623123586178, 2, 6.518753949996608, 606, 30867,                                             30867, 3.0900144577026367, 15.118592262268066
13, -1724.0618182574399, 2, 5.317992062002304, 495, 31362,                                             31362, 3.1559696197509766, 15.45844554901123
14, -241.00622855871916, 2, 7.118657220999012, 663, 32025,                                             32025, 3.3432466983795166, 16.303813934326172
15, -294.3962134812027, 2, 6.317311345999769, 585, 32610,                                             32610, 3.3475513458251953, 16.633634567260742
16, -282.41534921433777, 2, 6.118782060999365, 561, 33171,                                             33171, 3.3805346488952637, 16.923397064208984
17, -137.8344970345497, 2, 2.9162020529984147, 257, 33428,                                             33428, 3.304497718811035, 17.17140769958496
18, -718.7910329326987, 2, 4.717691268000635, 420, 33848,                                             33848, 3.3577327728271484, 17.41486930847168
19, -195.66813172399998, 2, 6.720723532002012, 627, 34475,                                             34475, 3.3590657711029053, 17.804105758666992
20, 33.62922026216984, 1, 0.30996874300035415, 30, 34505,                                             34505, 3.3429951667785645, 17.88808822631836
21, -175.7117875861004, 2, 7.159757727000397, 694, 35199,                                             35199, 3.3213610649108887, 18.087738037109375
22, -154.9006237089634, 3, 4.483038216996647, 412, 35611,                                             35611, 3.2910876274108887, 18.45708656311035
23, -541.7234905399382, 2, 8.32081162599934, 777, 36388,                                             36388, 3.2668888568878174, 18.697097778320312
24, -153.69653822109103, 2, 3.7172797239982174, 336, 36724,                                             36724, 3.348653793334961, 18.898456573486328
25, -226.95747587829828, 2, 5.518304993995116, 513, 37237,                                             37237, 3.249558210372925, 19.034683227539062
26, -238.13564151711762, 2, 4.116029161996266, 363, 37600,                                             37600, 3.175507068634033, 19.06428337097168
27, -143.24580796435475, 3, 4.116964480999741, 367, 37967,                                             37967, 3.2218575477600098, 19.36981773376465
28, -143.72669988125563, 2, 2.716655197000364, 231, 38198,                                             38198, 3.1983840465545654, 19.27256202697754
29, -328.53944032639265, 2, 6.118439404999663, 552, 38750,                                             38750, 3.1799936294555664, 19.50289535522461
30, -308.88743479084224, 2, 4.918204944005993, 446, 39196,                                             39196, 3.224419355392456, 19.811458587646484
31, -737.2690262776305, 2, 6.118751303001773, 550, 39746,                                             39746, 3.239896297454834, 19.9598331451416
32, -255.3875415585935, 3, 4.5175998539998545, 410, 40156,                                             40156, 3.229893207550049, 20.159353256225586
33, -516.4922146312892, 2, 6.7215068229998, 616, 40772,                                             40772, 3.1323130130767822, 20.138601303100586
34, -135.73687439830974, 2, 5.11824489999708, 457, 41229,                                             41229, 3.167407989501953, 20.307653427124023
35, -198.64937983080745, 2, 3.518456233003235, 314, 41543,                                             41543, 3.1374247074127197, 20.322097778320312
36, -230.76405514217913, 2, 4.317708270995354, 381, 41924,                                             41924, 3.079124689102173, 20.22959327697754
37, -231.26769614219666, 2, 5.119934002002992, 453, 42377,                                             42377, 3.0807347297668457, 20.48581314086914
38, -262.5226326007396, 2, 3.717050986000686, 335, 42712,                                             42712, 3.1285061836242676, 20.79275131225586
39, -767.6995913796127, 2, 5.718677867000224, 514, 43226,                                             43226, 3.0968759059906006, 20.71907615661621
40, -240.47700273245573, 2, 5.722288889999618, 521, 43747,                                             43747, 3.143709421157837, 20.816673278808594
41, -358.4490569476038, 2, 5.718599086998438, 520, 44267,                                             44267, 3.11761736869812, 21.090635299682617
42, -286.80323637649417, 2, 3.9177670930002932, 346, 44613,                                             44613, 3.142500162124634, 21.260412216186523
