episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
8001, 2483.3884389847517, 1, 0.8612690629998951, 30, 1660029,                                             1000000, 22.598670959472656, 162.3636932373047
8002, 2177.8288902044296, 1, 2.1156745560000445, 98, 1660127,                                             1000000, 17.6737003326416, 165.80880737304688
8003, -2281.719573736191, 3, 1.3143924700000298, 62, 1660189,                                             1000000, 17.752290725708008, 164.17767333984375
8004, 2399.3312738388777, 1, 1.7135178959999848, 78, 1660267,                                             1000000, 18.111469268798828, 165.3892364501953
8005, 547.3737366199493, 1, 7.715622057000019, 416, 1660683,                                             1000000, 18.42967414855957, 165.63340759277344
8006, 1373.6399137973785, 1, 3.91668985299998, 204, 1660887,                                             1000000, 17.474851608276367, 164.6395721435547
8007, -5155.614479660988, 2, 10.519012373999999, 575, 1661462,                                             1000000, 17.68639373779297, 165.43409729003906
8008, -6727.5540516376495, 2, 8.11860613600004, 438, 1661900,                                             1000000, 18.44188117980957, 164.7794189453125
8009, 2335.961984694004, 1, 1.9145877720000044, 86, 1661986,                                             1000000, 17.16669464111328, 164.45458984375
8010, 2036.248760342598, 1, 2.91380716499998, 144, 1662130,                                             1000000, 17.274967193603516, 164.40045166015625
8011, -2809.017197728157, 3, 2.3147559650000176, 113, 1662243,                                             1000000, 15.372411727905273, 164.24668884277344
8012, 2330.3175220787525, 1, 1.9167160089999697, 86, 1662329,                                             1000000, 18.881078720092773, 163.87750244140625
8013, 2296.253599047661, 1, 1.7139883869999721, 82, 1662411,                                             1000000, 18.705909729003906, 162.2921142578125
8014, 1105.7876000404358, 1, 6.104602762000013, 341, 1662752,                                             1000000, 18.482656478881836, 163.9210205078125
8015, 1130.8286155462265, 1, 6.33069105300001, 343, 1663095,                                             1000000, 18.292381286621094, 163.94728088378906
8016, 2063.9685895442963, 1, 2.6810929980000537, 149, 1663244,                                             1000000, 18.056509017944336, 165.6643829345703
8017, -7933.877068758011, 2, 6.751037876999931, 359, 1663603,                                             1000000, 19.261152267456055, 163.1347198486328
8018, 2200.093394756317, 1, 2.916004077999901, 149, 1663752,                                             1000000, 19.066680908203125, 164.8834228515625
8019, 2085.659198284149, 1, 2.915572228999963, 151, 1663903,                                             1000000, 18.05304718017578, 164.64877319335938
8020, 2310.8352868556976, 1, 1.548989923000022, 86, 1663989,                                             1000000, 16.624845504760742, 164.07272338867188
8021, 2144.937338590622, 1, 2.6825534030000426, 129, 1664118,                                             1000000, 18.349637985229492, 164.31068420410156
8022, 1956.6082556247711, 1, 2.7153447650000544, 138, 1664256,                                             1000000, 19.077293395996094, 164.2252960205078
8023, -2918.865802049637, 3, 4.5165682780000225, 238, 1664494,                                             1000000, 20.050565719604492, 163.41177368164062
8024, 1899.657904267311, 1, 4.5152732609999475, 242, 1664736,                                             1000000, 18.765581130981445, 164.12109375
8025, 718.5216608047485, 1, 3.8575175680000484, 215, 1664951,                                             1000000, 18.250572204589844, 164.20123291015625
8026, -4210.985061049461, 3, 5.575236278000034, 291, 1665242,                                             1000000, 18.782102584838867, 165.10418701171875
8027, 2179.1153735518456, 1, 3.5173490109999648, 177, 1665419,                                             1000000, 20.759166717529297, 163.69947814941406
8028, -3587.8373239040375, 2, 6.1617951909998965, 344, 1665763,                                             1000000, 18.774330139160156, 164.108642578125
8029, 2165.5031920075417, 1, 2.670603596000092, 128, 1665891,                                             1000000, 21.62241554260254, 164.24612426757812
8030, 1527.8106908798218, 1, 3.117062603000022, 175, 1666066,                                             1000000, 20.285411834716797, 164.5824432373047
8031, 1994.580845117569, 1, 3.700772559000029, 186, 1666252,                                             1000000, 19.829322814941406, 165.01156616210938
8032, 1188.3946616649628, 1, 6.117448254999999, 333, 1666585,                                             1000000, 18.490440368652344, 163.04769897460938
8033, 1418.9536324739456, 1, 4.6807036590000735, 259, 1666844,                                             1000000, 19.03388214111328, 164.09075927734375
8034, -2670.5534954071045, 2, 2.3507738229999404, 118, 1666962,                                             1000000, 17.39739227294922, 163.38343811035156
8035, 1090.4793966412544, 1, 7.718576614999961, 415, 1667377,                                             1000000, 18.563615798950195, 163.18865966796875
8036, 1718.6631693840027, 1, 4.7173057470000685, 252, 1667629,                                             1000000, 19.00325584411621, 162.71922302246094
8037, 2075.8186470270157, 1, 2.472950797000067, 138, 1667767,                                             1000000, 19.652034759521484, 163.97486877441406
8038, 1559.647006869316, 1, 4.5583383180000965, 236, 1668003,                                             1000000, 18.941938400268555, 163.14669799804688
8039, 1818.9315711259842, 1, 3.4117420869999933, 190, 1668193,                                             1000000, 18.89067268371582, 163.60333251953125
8040, -186.96188342571259, 1, 7.4211371309999095, 398, 1668591,                                             1000000, 18.026756286621094, 162.40130615234375
8041, -2439.3202476501465, 2, 0.9143424929999355, 30, 1668621,                                             1000000, 19.048372268676758, 160.7919158935547
8042, 2356.0218618810177, 1, 1.5152654180000127, 71, 1668692,                                             1000000, 16.204917907714844, 163.41917419433594
8043, 2074.40393781662, 1, 2.819515492999926, 158, 1668850,                                             1000000, 17.33701515197754, 163.02183532714844
8044, 802.4282046556473, 1, 7.015545520000046, 378, 1669228,                                             1000000, 19.404983520507812, 162.4009246826172
8045, 2286.9420317411423, 1, 2.114254738999989, 104, 1669332,                                             1000000, 18.30655860900879, 162.55783081054688
8046, -2407.222622990608, 4, 10.351829077000048, 576, 1669908,                                             1000000, 18.828369140625, 162.69140625
8047, -2475.2856274843216, 2, 2.081474684, 98, 1670006,                                             1000000, 19.38022232055664, 164.7645721435547
8048, 2324.2641768455505, 1, 0.914734664999969, 30, 1670036,                                             1000000, 21.12775230407715, 161.18223571777344
8049, 2181.7816026210785, 1, 2.3468575289999762, 131, 1670167,                                             1000000, 16.75930404663086, 163.25132751464844
8050, 1864.6795580387115, 1, 4.685546427999952, 241, 1670408,                                             1000000, 18.004146575927734, 162.751220703125
8051, -2430.1321794986725, 3, 2.012151883999991, 112, 1670520,                                             1000000, 19.542922973632812, 162.5792999267578
8052, 2034.0376852750778, 1, 3.822961615000054, 193, 1670713,                                             1000000, 18.142763137817383, 163.28042602539062
