episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -233.05335672199726, 2, 3.716248906996043, 363, 25080,                                             25080, 1.5011954307556152, 2.3389906883239746
2, -806.6597631126642, 2, 5.704490461997921, 528, 25608,                                             25608, 1.5023494958877563, 2.5944430828094482
3, 26.169755346141756, 1, 2.1162111529993126, 180, 25788,                                             25788, 1.5053929090499878, 2.7965564727783203
4, -251.19826140999794, 2, 4.261950195999816, 406, 26194,                                             26194, 1.4907944202423096, 2.9574882984161377
5, -266.9214840605855, 2, 3.572250632001669, 322, 26516,                                             26516, 1.492701530456543, 3.157785415649414
6, -460.45885172113776, 2, 4.116919987995061, 363, 26879,                                             26879, 1.504652738571167, 3.3423843383789062
7, -236.21123314788565, 2, 4.116000491005252, 378, 27257,                                             27257, 1.511950969696045, 3.539802312850952
8, -279.7225163700059, 2, 4.5164247149950825, 415, 27672,                                             27672, 1.5035959482192993, 3.745626449584961
9, -251.19045493379235, 2, 4.117421171999013, 372, 28044,                                             28044, 1.509787917137146, 3.945714235305786
10, -293.4789703525603, 2, 7.328860472000088, 687, 28731,                                             28731, 1.4798309803009033, 4.207586765289307
11, -270.4342819880694, 2, 3.315700711995305, 301, 29032,                                             29032, 1.4666521549224854, 4.443340301513672
12, -264.07410000264645, 2, 3.717449840005429, 328, 29360,                                             29360, 1.4819796085357666, 4.5942702293396
13, -162.44779962860048, 2, 1.9150657399950433, 169, 29529,                                             29529, 1.532572865486145, 4.712202072143555
14, -301.2904281951487, 2, 5.316965523998078, 498, 30027,                                             30027, 1.4827860593795776, 4.86683464050293
15, -256.73569134250283, 2, 3.7276982850016793, 326, 30353,                                             30353, 1.4574205875396729, 5.050006866455078
16, -499.3610440865159, 2, 3.7171332469952176, 333, 30686,                                             30686, 1.4583016633987427, 5.195619583129883
17, -615.0128982099704, 2, 6.918682518000423, 636, 31322,                                             31322, 1.4754559993743896, 5.4064459800720215
18, -230.57712706923485, 2, 2.5149306189996423, 215, 31537,                                             31537, 1.4913604259490967, 5.585062026977539
19, 18.548572308383882, 1, 2.115762428002199, 169, 31706,                                             31706, 1.4722630977630615, 5.667582035064697
