episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
3001, 2490.916772939265, 1, 0.7051193010000247, 30, 495563,                                             495563, 31.009305953979492, -372.11578369140625
3002, 2297.8443063795567, 1, 2.9019858689999865, 136, 495699,                                             495699, 23.924591064453125, -365.9077453613281
3003, 1827.1650174856186, 1, 2.7215687100000423, 137, 495836,                                             495836, 23.867942810058594, -366.48052978515625
3004, 2068.206920430064, 1, 6.103520051000032, 314, 496150,                                             496150, 25.2620792388916, -368.3504943847656
3005, 1464.2569974064827, 1, 4.724329351000051, 247, 496397,                                             496397, 23.362361907958984, -365.66839599609375
3006, 1918.6950391232967, 1, 4.503296191000004, 222, 496619,                                             496619, 24.54104232788086, -370.7320556640625
3007, -2700.4240126013756, 3, 4.104078694000009, 199, 496818,                                             496818, 26.054800033569336, -370.0923767089844
3008, 2308.1395465433598, 1, 2.3030556310000065, 112, 496930,                                             496930, 26.01279067993164, -367.42620849609375
3009, 2018.2114693373442, 1, 4.522054652000065, 231, 497161,                                             497161, 26.228511810302734, -370.76287841796875
3010, -2379.3396048545837, 2, 1.100722208000093, 38, 497199,                                             497199, 27.314706802368164, -370.1025695800781
3011, 1316.555401623249, 1, 2.655524157000059, 132, 497331,                                             497331, 26.312232971191406, -368.5572204589844
3012, 1379.166818857193, 1, 4.902608428000008, 239, 497570,                                             497570, 23.608854293823242, -367.2202453613281
3013, -2431.281578183174, 2, 1.5025810280000087, 63, 497633,                                             497633, 25.907604217529297, -372.6181945800781
3014, 2427.8683109879494, 1, 1.3167755860000625, 63, 497696,                                             497696, 22.522558212280273, -369.7154235839844
3015, 1786.8316591978073, 1, 3.302031966999948, 155, 497851,                                             497851, 24.492265701293945, -367.83514404296875
3016, 2276.6781396865845, 1, 3.1046424380000417, 147, 497998,                                             497998, 25.764232635498047, -370.1092529296875
3017, 1212.5904064178467, 1, 4.925587565000001, 254, 498252,                                             498252, 24.347444534301758, -371.7824401855469
3018, -2357.076124548912, 3, 2.50210883200009, 110, 498362,                                             498362, 26.223051071166992, -373.3447570800781
3019, 2280.523615270853, 1, 1.9194437930000277, 95, 498457,                                             498457, 23.903127670288086, -369.3614807128906
3020, 1554.1717302650213, 1, 4.502070364000019, 219, 498676,                                             498676, 24.416349411010742, -371.6036682128906
3021, -3851.896569430828, 3, 8.129325426000037, 409, 499085,                                             499085, 24.107433319091797, -370.3483581542969
3022, 2273.9294041991234, 1, 3.5212277589999985, 156, 499241,                                             499241, 26.345062255859375, -372.1324768066406
3023, 2051.13446611166, 1, 3.3229132259999687, 161, 499402,                                             499402, 25.07880401611328, -372.1506042480469
3024, 2133.1359774172306, 1, 3.903444463000028, 175, 499577,                                             499577, 23.861440658569336, -371.2470397949219
3025, -2856.3274480104446, 2, 3.125679071000036, 153, 499730,                                             499730, 24.655654907226562, -372.6499938964844
3026, -2837.027968764305, 2, 3.124784704000035, 151, 499881,                                             499881, 24.01289176940918, -372.1697998046875
3027, 1462.4155845940113, 1, 4.302394853999999, 199, 500080,                                             500080, 25.05483055114746, -370.97235107421875
3028, -3097.860343813896, 2, 4.328372723999905, 207, 500287,                                             500287, 24.08110237121582, -370.59698486328125
3029, 2420.0087589621544, 1, 1.701105628999926, 73, 500360,                                             500360, 23.496000289916992, -372.3022766113281
3030, -3284.927497446537, 2, 4.333760678999965, 203, 500563,                                             500563, 27.208168029785156, -372.6150207519531
3031, 2260.9178211688995, 1, 4.491761084999894, 187, 500750,                                             500750, 24.135799407958984, -369.8938293457031
3032, 441.6570733189583, 1, 7.732825046000016, 351, 501101,                                             501101, 24.3974666595459, -371.8318176269531
